participant_id,block,trial,time,type,mtr_auto1,mtr_auto2,gauge1_level,gauge1_oob,gauge1_reset,gauge2_level,gauge2_oob,gauge2_reset,gauge3_level,gauge3_oob,gauge3_reset,gauge4_level,gauge4_oob,gauge4_reset,total_oob,total_reset,mtr_rxn_time,nav_auto,uav1_moving,uav1_idle,uav1_fuel,uav1_patha_length,uav1_patha_stormchance,uav1_pathb_length,uav1_pathb_stormchance,uav1_onpath,uav1_stormhit,uav1_goal,uav1_atgoal,uav1_goalsreached,uav1_score,uav2_moving,uav2_idle,uav2_fuel,uav2_patha_length,uav2_patha_stormchance,uav2_pathb_length,uav2_pathb_stormchance,uav2_onpath,uav2_stormhit,uav2_goal,uav2_atgoal,uav2_goalsreached,uav2_score,uav3_moving,uav3_idle,uav3_fuel,uav3_patha_length,uav3_patha_stormchance,uav3_pathb_length,uav3_pathb_stormchance,uav3_onpath,uav3_stormhit,uav3_goal,uav3_atgoal,uav3_goalsreached,uav3_score,uav4_moving,uav4_idle,uav4_fuel,uav4_patha_length,uav4_patha_stormchance,uav4_pathb_length,uav4_pathb_stormchance,uav4_onpath,uav4_stormhit,uav4_goal,uav4_atgoal,uav4_goalsreached,uav4_score,total_goals_reached,total_score,chat_auto,message,response,correct_answer,chat_rxn_time
81dc66ee,2,2,01:21:2026_09:18:00,UAV Idle,False,False,43,False,False,49,True,False,60,True,False,95,False,False,2,0,N/A,False,False,True,1000,217,0.39,251,0.88,NA,False,1,False,0,0,True,False,949.0,231,0.64,239,0.66,A,False,2,False,0,0,False,True,1000,261,0.0,302,0.0,NA,False,3,False,0,0,False,False,762.0,141,0.39,148,0.24,NA,False,2,False,1,0,1,10,False,Is GAUGE RED within the bounds?,N/A,Yes,N/A
8280745d,2,1,01:21:2026_09:18:42,Chat Msg,False,False,63,False,False,132,False,False,52,False,False,96,False,False,0,0,N/A,False,False,False,1000,217,0.01,251,0.0,NA,False,1,False,0,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,1000,203,0.64,216,0.95,NA,False,4,False,0,0,0,0,False,Is GAUGE YELLOW below the bounds?,N/A,,N/A
8280745d,2,1,01:21:2026_09:18:42,UAV Path A,False,False,63,False,False,132,False,False,52,False,False,96,False,False,0,0,N/A,False,False,False,1000,217,0.01,251,0.0,NA,False,1,False,0,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,True,False,1000,203,0.64,216,0.95,A,True,4,False,0,0,0,0,False,Is GAUGE YELLOW below the bounds?,N/A,,N/A
8280745d,2,2,01:21:2026_09:18:47,Chat Msg,False,False,50,False,False,60,False,False,101,False,False,130,False,False,0,0,N/A,False,False,False,1000,217,0.39,251,0.88,NA,False,1,False,0,0,False,False,1000,231,0.81,239,0.95,NA,False,2,False,0,0,False,False,1000,261,0.0,302,0.0,NA,False,3,False,0,0,False,False,1000,143,0.18,152,0.09,NA,False,4,False,0,0,0,0,False,Is GAUGE RED above the bounds?,N/A,,N/A
8280745d,2,2,01:21:2026_09:18:47,UAV Path B,False,False,50,False,False,60,False,False,101,False,False,130,False,False,0,0,N/A,False,False,False,1000,217,0.39,251,0.88,NA,False,1,False,0,0,False,False,1000,231,0.81,239,0.95,NA,False,2,False,0,0,False,False,1000,261,0.0,302,0.0,NA,False,3,False,0,0,True,False,1000,143,0.18,152,0.09,B,True,4,False,0,0,0,0,False,Is GAUGE RED above the bounds?,N/A,,N/A
8280745d,2,2,01:21:2026_09:18:48,UAV Hit Storm,False,False,50,False,False,60,False,False,101,False,False,130,False,False,0,0,N/A,False,False,False,1000,217,0.39,251,0.88,NA,False,1,False,0,0,False,False,1000,231,0.64,239,0.66,NA,False,2,False,0,0,False,False,1000,261,0.0,302,0.0,NA,False,3,False,0,0,False,False,928.0,143,0.18,152,0.09,B,True,4,False,0,0,0,0,False,Is GAUGE RED above the bounds?,N/A,,N/A
8280745d,2,2,01:21:2026_09:18:49,UAV Path B,False,False,50,False,False,60,False,False,101,False,False,130,False,False,0,0,N/A,False,False,False,1000,217,0.39,251,0.88,NA,False,1,False,0,0,True,False,1000,231,0.64,239,0.66,B,True,2,False,0,0,False,False,1000,261,0.0,302,0.0,NA,False,3,False,0,0,False,False,928.0,143,0.18,152,0.09,B,True,4,False,0,0,0,0,False,Is GAUGE RED above the bounds?,N/A,,N/A
8280745d,2,2,01:21:2026_09:18:51,UAV Hit Storm,False,False,50,False,False,60,False,False,101,False,False,130,False,False,0,0,N/A,False,False,False,1000,217,0.05,251,0.19,NA,False,1,False,0,0,False,False,886.0,231,0.64,239,0.66,B,True,2,False,0,0,False,False,1000,261,0.0,302,0.0,NA,False,3,False,0,0,True,False,839.0,143,0.18,152,0.09,B,True,4,False,0,0,0,0,False,Is GAUGE RED above the bounds?,N/A,,N/A
8280745d,2,2,01:21:2026_09:18:51,Monitor OOB,False,False,75,True,False,60,False,False,101,False,False,130,False,False,1,0,N/A,False,False,False,1000,217,0.05,251,0.19,NA,False,1,False,0,0,False,False,886.0,231,0.64,239,0.66,B,True,2,False,0,0,False,False,1000,261,0.0,302,0.0,NA,False,3,False,0,0,True,False,824.0,143,0.18,152,0.09,B,True,4,False,0,0,0,0,False,Is GAUGE RED above the bounds?,N/A,,N/A
8280745d,2,2,01:21:2026_09:18:51,Monitor OOB,False,False,52.5,True,False,60,False,False,101,False,False,82,True,False,2,0,N/A,False,False,False,1000,217,0.05,251,0.19,NA,False,1,False,0,0,False,False,886.0,231,0.64,239,0.66,B,True,2,False,0,0,False,False,1000,261,0.0,302,0.0,NA,False,3,False,0,0,True,False,821.0,143,0.18,152,0.09,B,True,4,False,0,0,0,0,False,Is GAUGE RED above the bounds?,N/A,,N/A
8280745d,2,2,01:21:2026_09:18:51,UAV at Goal,False,False,63.7,True,False,60,False,False,101,False,False,109.9,True,False,2,0,N/A,False,False,False,1000,217,0.05,251,0.19,NA,False,1,False,0,0,False,False,886.0,231,0.64,239,0.66,B,True,2,False,0,0,False,False,1000,261,0.0,302,0.0,NA,False,3,False,0,0,False,False,806.0,143,0.18,152,0.09,NA,True,4,True,1,5,1,5,False,Is GAUGE RED above the bounds?,N/A,,N/A
8280745d,2,2,01:21:2026_09:18:52,Monitor OOB,False,False,75,True,False,60,False,False,53,True,False,82,True,False,3,0,N/A,False,False,False,1000,217,0.05,251,0.19,NA,False,1,False,0,0,False,False,886.0,231,0.64,239,0.66,B,True,2,False,0,0,False,False,1000,261,0.0,302,0.0,NA,False,3,False,0,0,False,False,806.0,140,0.24,178,0.1,NA,False,2,False,1,0,1,5,False,Is GAUGE RED above the bounds?,N/A,,N/A
8280745d,2,2,01:21:2026_09:18:52,UAV Path B,False,False,75,True,False,60,False,False,74.8,True,False,82,True,False,3,0,N/A,False,True,False,1000,217,0.05,251,0.19,B,False,1,False,0,0,False,False,886.0,231,0.64,239,0.66,B,True,2,False,0,0,False,False,1000,261,0.0,302,0.0,NA,False,3,False,0,0,False,False,806.0,140,0.24,178,0.1,NA,False,2,False,1,0,1,5,False,Is GAUGE RED above the bounds?,N/A,,N/A
8280745d,2,2,01:21:2026_09:18:54,UAV Path A,False,False,75,True,False,60,False,False,53,True,False,82,True,False,3,0,N/A,False,True,False,829.0,217,0.05,251,0.19,B,False,1,False,0,0,True,False,719.0,231,0.64,239,0.66,B,True,2,False,0,0,True,False,1000,261,0.0,302,0.0,A,False,3,False,0,0,False,False,806.0,140,0.24,178,0.1,NA,False,2,False,1,0,1,5,False,Is GAUGE RED above the bounds?,N/A,,N/A
8280745d,2,2,01:21:2026_09:18:54,UAV at Goal,False,False,75,True,False,60,False,False,53,True,False,82,True,False,3,0,N/A,False,True,False,829.0,217,0.05,251,0.19,B,False,1,False,0,0,False,False,719.0,231,0.64,239,0.66,NA,True,2,True,1,5,True,False,1000,261,0.0,302,0.0,A,False,3,False,0,0,False,False,806.0,140,0.24,178,0.1,NA,False,2,False,1,0,2,10,False,Is GAUGE RED above the bounds?,N/A,,N/A
