participant_id,block,trial,time,type,auto,auto_type,gauge1_level,gauge1_oob,gauge1_reset,gauge2_level,gauge2_oob,gauge2_reset,gauge3_level,gauge3_oob,gauge3_reset,gauge4_level,gauge4_oob,gauge4_reset,total_oob,total_reset,rxn_time,uav1_moving,uav1_idle,uav1_fuel,uav1_patha_length,uav1_patha_stormchance,uav1_pathb_length,uav1_pathb_stormchance,uav1_onpath,uav1_stormhit,uav1_goal,uav1_atgoal,uav1_goalsreached,uav1_score,uav2_moving,uav2_idle,uav2_fuel,uav2_patha_length,uav2_patha_stormchance,uav2_pathb_length,uav2_pathb_stormchance,uav2_onpath,uav2_stormhit,uav2_goal,uav2_atgoal,uav2_goalsreached,uav2_score,uav3_moving,uav3_idle,uav3_fuel,uav3_patha_length,uav3_patha_stormchance,uav3_pathb_length,uav3_pathb_stormchance,uav3_onpath,uav3_stormhit,uav3_goal,uav3_atgoal,uav3_goalsreached,uav3_score,uav4_moving,uav4_idle,uav4_fuel,uav4_patha_length,uav4_patha_stormchance,uav4_pathb_length,uav4_pathb_stormchance,uav4_onpath,uav4_stormhit,uav4_goal,uav4_atgoal,uav4_goalsreached,uav4_score,total_goals_reached,total_score,message,response,correct_answer,rxn_time
8876be8e,2,1,15:52:52,Monitor OOB,False,None,80,False,False,120,False,False,192,True,False,47,False,False,2,1,NA,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,2,15,Is GAUGE RED within the bounds?,Yes,Yes,9.698379
8876be8e,2,1,15:52:55,UAV Path B,False,None,80,False,False,120,False,False,192,True,False,47,False,False,2,1,NA,True,False,787.0,271,0.02,274,0.01,B,False,HB,False,1,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,2,15,Is GAUGE RED within the bounds?,Yes,Yes,11.955221
8876be8e,2,1,15:52:57,Chat Msg,False,None,80,False,False,111,False,False,192,True,False,47,False,False,2,1,NA,True,False,652.0,271,0.02,274,0.01,B,False,HB,False,1,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,2,15,What is the fuel level of UAV RED?,N/A,,N/A
8876be8e,2,1,15:52:57,Monitor OOB,False,None,38,True,False,111,False,False,192,True,False,47,False,False,3,1,NA,True,False,649.0,271,0.02,274,0.01,B,False,HB,False,1,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,2,15,What is the fuel level of UAV RED?,N/A,,N/A
8876be8e,2,1,15:52:59,UAV at Goal,False,None,38,True,False,111,False,False,192,True,False,55,False,False,3,1,NA,False,False,2000,271,0.02,274,0.01,NA,False,HB,True,2,8,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,3,23,What is the fuel level of UAV RED?,N/A,,N/A
8876be8e,2,1,15:53:01,UAV Idle,False,None,38,True,False,111,False,False,179.0,False,False,55,False,False,3,1,NA,False,False,2000,264,0.03,333,0.49,NA,False,1,False,2,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,True,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,3,23,What is the fuel level of UAV RED?,N/A,,N/A
8876be8e,2,1,15:53:01,Chat Reply,False,None,38,True,False,111,False,False,157.5,False,False,55,False,False,3,1,NA,False,False,2000,264,0.03,333,0.49,NA,False,1,False,2,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,True,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,3,23,What is the fuel level of UAV RED?,1000,1000 km,4.70598
8876be8e,2,1,15:53:03,Monitor OOB,False,None,38,True,False,111,False,False,58,False,False,10,True,False,4,1,NA,False,False,2000,264,0.03,333,0.49,NA,False,1,False,2,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,True,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,3,23,What is the fuel level of UAV RED?,1000,1000 km,6.075777
8876be8e,2,1,15:53:03,UAV Path A,False,None,38,True,False,111,False,False,58,False,False,10,True,False,4,1,NA,False,False,2000,264,0.03,333,0.49,NA,False,1,False,2,0,True,False,1000,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,True,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,3,23,What is the fuel level of UAV RED?,1000,1000 km,6.764852
8876be8e,2,1,15:53:05,UAV Hit Storm,False,None,38,True,False,109.2,False,False,58,False,False,10,True,False,4,1,NA,False,False,2000,264,0.03,333,0.49,NA,False,1,False,2,0,False,False,896.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,True,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,3,23,What is the fuel level of UAV RED?,1000,1000 km,7.961006
8876be8e,2,1,15:53:05,Monitor Reset,False,None,80,False,True,108.6,False,False,58,False,False,10,True,False,4,2,8.020092,False,False,2000,264,0.03,333,0.49,NA,False,1,False,2,0,False,False,892.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,True,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,3,23,What is the fuel level of UAV RED?,1000,1000 km,8.036311
8876be8e,2,1,15:53:06,Monitor Reset,False,None,80,False,False,107,False,False,58,False,False,60,False,True,4,3,3.019197,False,False,2000,264,0.03,333,0.49,NA,False,1,False,2,0,False,False,892.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,True,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,3,23,What is the fuel level of UAV RED?,1000,1000 km,9.094921
8876be8e,2,1,15:53:07,UAV Hit Storm,False,None,80,False,False,107,False,False,58,False,False,60,False,False,4,3,NA,False,False,2000,264,0.03,333,0.49,NA,False,1,False,2,0,False,False,842.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,True,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,3,23,What is the fuel level of UAV RED?,1000,1000 km,10.001802
8876be8e,2,1,15:53:08,UAV Idle,False,None,80,False,False,107,False,False,59,False,False,60,False,False,4,3,NA,False,True,2000,264,0.03,333,0.49,NA,False,1,False,2,0,False,False,838.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,True,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,3,23,What is the fuel level of UAV RED?,1000,1000 km,11.638698
8876be8e,2,1,15:53:09,Chat Msg,False,None,80,False,False,107,False,False,59,False,False,60,False,False,4,3,NA,False,True,2000,264,0.03,333,0.49,NA,False,1,False,2,0,False,False,838.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,True,738.0,565,0.95,690,0.01,NA,False,HB,False,1,0,3,23,What is the length of Path A for UAV BLUE?,N/A,,N/A
8876be8e,2,1,15:53:09,UAV Path A,False,None,80,False,False,107,False,False,59,False,False,60,False,False,4,3,NA,False,True,2000,264,0.03,333,0.49,NA,False,1,False,2,0,True,False,732.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,True,False,738.0,565,0.95,690,0.01,A,True,HB,False,1,0,3,23,What is the length of Path A for UAV BLUE?,N/A,,N/A
8876be8e,2,1,15:53:10,Monitor OOB,False,None,80,False,False,93,True,False,59,False,False,60,False,False,5,3,NA,False,True,2000,264,0.03,333,0.49,NA,False,1,False,2,0,True,False,692.0,217,0.85,225,0.95,A,True,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,True,False,720.0,565,0.95,690,0.01,A,True,HB,False,1,0,3,23,What is the length of Path A for UAV BLUE?,N/A,,N/A
8876be8e,2,1,15:53:10,UAV at Goal,False,None,80,False,False,105.2,True,False,59,False,False,60,False,False,5,3,NA,False,True,2000,264,0.03,333,0.49,NA,False,1,False,2,0,False,False,688.0,217,0.85,225,0.95,NA,False,2,True,1,10,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,True,False,716.0,565,0.95,690,0.01,A,True,HB,False,1,0,4,33,What is the length of Path A for UAV BLUE?,N/A,,N/A
